Individual ,Sire,Dam,Family,Culture,Length,Block,pH,photo_ID,Malformed
290,S1,D1,1,3,98.166,1,7.5,T3_3_15.tif,yes
291,S1,D1,1,3,114.226,1,7.5,T3_3_15.tif,yes
292,S1,D1,1,3,102.353,1,7.5,T3_3_16.tif,yes
293,S1,D1,1,3,108.521,1,7.5,T3_3_17.tif,no
294,S1,D1,1,3,99.647,1,7.5,T3_3_18.tif,yes
295,S2,D1,2,1,100.256,1,7.5,T4_1_.tif,yes
296,S2,D1,2,1,110.076,1,7.5,T4_1_1.tif,no
297,S2,D1,2,1,103.129,1,7.5,T4_1_2.tif,yes
298,S2,D1,2,1,104.604,1,7.5,T4_1_3.tif,yes
299,S2,D1,2,1,103.546,1,7.5,T4_1_4.tif,yes
300,S2,D1,2,1,95.753,1,7.5,T4_1_5.tif,yes
301,S2,D1,2,1,106.75,1,7.5,T4_1_6.tif,yes
302,S2,D1,2,1,108.6,1,7.5,T4_1_7.tif,no
303,S2,D1,2,1,105.549,1,7.5,T4_1_8.tif,yes
304,S2,D1,2,1,109.991,1,7.5,T4_1_9.tif,no
305,S2,D1,2,1,105.454,1,7.5,T4_1_10.tif,yes
306,S2,D1,2,1,78.37,1,7.5,T4_1_11.tif,yes
307,S2,D1,2,1,106.115,1,7.5,T4_1_12.tif,yes
308,S2,D1,2,1,106.024,1,7.5,T4_1_13.tif,no
309,S2,D1,2,1,98.837,1,7.5,T4_1_14.tif,yes
310,S2,D1,2,1,99.345,1,7.5,T4_1_15.tif,yes
311,S2,D1,2,1,103.548,1,7.5,T4_1_16.tif,yes
312,S2,D1,2,1,86.989,1,7.5,T4_1_17.tif,yes
313,S2,D1,2,1,105.177,1,7.5,T4_1_18.tif,yes
314,S2,D1,2,1,111.316,1,7.5,T4_1_18.tif,no
315,S2,D1,2,2,104.124,1,7.5,T4_2_.tif,yes
316,S2,D1,2,2,109.498,1,7.5,T4_2_1.tif,yes
317,S2,D1,2,2,103.428,1,7.5,T4_2_2.tif,yes
318,S2,D1,2,2,109.052,1,7.5,T4_2_3.tif,no
319,S2,D1,2,2,96.69,1,7.5,T4_2_3.tif,yes
320,S2,D1,2,2,103.64,1,7.5,T4_2_4.tif,yes
321,S2,D1,2,2,100.08,1,7.5,T4_2_7.tif,yes
322,S2,D1,2,2,98.665,1,7.5,T4_2_7.tif,yes
323,S2,D1,2,2,108.869,1,7.5,T4_2_7.tif,yes
324,S2,D1,2,2,101.762,1,7.5,T4_2_8.tif,no
325,S2,D1,2,2,110.279,1,7.5,T4_2_9.tif,yes
326,S2,D1,2,2,95.619,1,7.5,T4_2_10.tif,yes
327,S2,D1,2,2,103.219,1,7.5,T4_2_10.tif,no
328,S2,D1,2,2,106.477,1,7.5,T4_2_10.tif,no
329,S2,D1,2,2,105.285,1,7.5,T4_2_11.tif,yes
330,S2,D1,2,2,101.076,1,7.5,T4_2_11.tif,yes
331,S2,D1,2,2,107.271,1,7.5,T4_2_11.tif,yes
332,S2,D1,2,2,108.219,1,7.5,T4_2_12.tif,yes
333,S2,D1,2,2,105.154,1,7.5,T4_2_13.tif,yes
334,S2,D1,2,2,101.691,1,7.5,T4_2_14.tif,yes
335,S2,D1,2,3,108.646,1,7.5,T4_3_.tif,no
336,S2,D1,2,3,105.383,1,7.5,T4_3_.tif,yes
337,S2,D1,2,3,103.373,1,7.5,T4_3_1.tif,yes
338,S2,D1,2,3,105.531,1,7.5,T4_3_1.tif,yes
339,S2,D1,2,3,105.16,1,7.5,T4_3_2.tif,yes
340,S2,D1,2,3,101.669,1,7.5,T4_3_4.tif,yes
341,S2,D1,2,3,109.725,1,7.5,T4_3_5.tif,yes
342,S2,D1,2,3,105.557,1,7.5,T4_3_6.tif,yes
343,S2,D1,2,3,102.971,1,7.5,T4_3_7.tif,yes
344,S2,D1,2,3,101.901,1,7.5,T4_3_8.tif,no
345,S2,D1,2,3,111.473,1,7.5,T4_3_9.tif,no
346,S2,D1,2,3,107.9,1,7.5,T4_3_10.tif,no
347,S2,D1,2,3,104.914,1,7.5,T4_3_10.tif,yes
348,S2,D1,2,3,106.065,1,7.5,T4_3_10.tif,no
349,S2,D1,2,3,107.869,1,7.5,T4_3_10.tif,no
350,S2,D1,2,3,102.448,1,7.5,T4_3_11.tif,yes
351,S2,D1,2,3,103.139,1,7.5,T4_3_12.tif,no
352,S2,D1,2,3,106.729,1,7.5,T4_3_12.tif,yes
353,S2,D1,2,3,105.821,1,7.5,T4_3_12.tif,yes
354,S2,D1,2,3,110.773,1,7.5,T4_3_12.tif,no
355,S1,D2,3,1,106.8,1,7.5,T5_1_-1.tif,yes
356,S1,D2,3,1,106.74,1,7.5,T5_1_1.tif,yes
357,S1,D2,3,1,104.968,1,7.5,T5_1_2.tif,yes
358,S1,D2,3,1,103.109,1,7.5,T5_1_6.tif,yes
359,S1,D2,3,1,82.097,1,7.5,T5_1_10.tif,yes
360,S1,D2,3,1,87.737,1,7.5,T5_1_11.tif,yes
361,S1,D2,3,1,100.256,1,7.5,T5_1_12.tif,no
362,S1,D2,3,1,106.131,1,7.5,T5_1_14.tif,yes
363,S1,D2,3,1,88.466,1,7.5,T5_1_16.tif,yes
364,S1,D2,3,1,94.735,1,7.5,T5_1_18.tif,yes
365,S1,D2,3,1,104.418,1,7.5,T5_1_19.tif,no
366,S1,D2,3,1,100.478,1,7.5,T5_1_20.tif,no
367,S1,D2,3,1,109.673,1,7.5,T5_1_21.tif,no
368,S1,D2,3,1,101.466,1,7.5,T5_1_22.tif,no
369,S1,D2,3,1,106.938,1,7.5,T5_1_24.tif,yes
370,S1,D2,3,1,107.644,1,7.5,T5_1_25.tif,no
371,S1,D2,3,1,98.615,1,7.5,T5_1_26.tif,yes
372,S1,D2,3,2,96.611,1,7.5,T5_2_.tif,yes
373,S1,D2,3,2,84.194,1,7.5,T5_2_1.tif,yes
374,S1,D2,3,2,96.199,1,7.5,T5_2_2.tif,yes
375,S1,D2,3,2,94.392,1,7.5,T5_2_2.tif,yes
376,S1,D2,3,2,89.84,1,7.5,T5_2_3.tif,yes
377,S1,D2,3,2,83.926,1,7.5,T5_2_3.tif,yes
378,S1,D2,3,2,95.865,1,7.5,T5_2_3.tif,yes
379,S1,D2,3,2,99.22,1,7.5,T5_2_3.tif,yes
380,S1,D2,3,2,103.296,1,7.5,T5_2_3.tif,no
381,S1,D2,3,2,87.634,1,7.5,T5_2_4.tif,yes
382,S1,D2,3,2,91.209,1,7.5,T5_2_5.tif,yes
383,S1,D2,3,2,104.232,1,7.5,T5_2_6.tif,no
384,S1,D2,3,2,94.4,1,7.5,T5_2_8.tif,yes
385,S1,D2,3,2,92.699,1,7.5,T5_2_9.tif,yes
386,S1,D2,3,2,92.269,1,7.5,T5_2_10.tif,yes
387,S1,D2,3,2,96.349,1,7.5,T5_2_11.tif,yes
388,S1,D2,3,2,95.137,1,7.5,T5_2_12.tif,yes
389,S1,D2,3,2,102.89,1,7.5,T5_2_13.tif,yes
390,S1,D2,3,2,83.033,1,7.5,T5_2_14.tif,yes
391,S1,D2,3,3,95.258,1,7.5,T5_3_.tif,yes
392,S1,D2,3,3,99.707,1,7.5,T5_3_1.tif,no
393,S1,D2,3,3,93.126,1,7.5,T5_3_3.tif,yes
394,S1,D2,3,3,77.853,1,7.5,T5_3_3.tif,yes
395,S1,D2,3,3,99.963,1,7.5,T5_3_4.tif,no
396,S1,D2,3,3,108.76,1,7.5,T5_3_5.tif,yes
397,S1,D2,3,3,109.785,1,7.5,T5_3_6.tif,no
398,S1,D2,3,3,104.103,1,7.5,T5_3_7.tif,yes
399,S1,D2,3,3,104.402,1,7.5,T5_3_8.tif,yes
400,S1,D2,3,3,102.837,1,7.5,T5_3_10.tif,yes
